	grid_num	northeast	southwest	raw_data	keywords	addresses	landmarks	subregion	streets
19	20	(47.70794850766408, 9.272188285687836)	(47.705250222959734, 9.26818968268541)	[{'AddressNumber': '16', 'Country': 'DEU', 'Geometry': {'Point': [9.26874, 47.7071]}, 'Interpolated': False, 'Label': 'See Holidays Ferienwohnung Korte, Louvecienner Weg 16, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Louvecienner Weg', 'SubRegion': 'Bodenseekreis', 'Category': 'Hotel'}, {'AddressNumber': '9', 'Country': 'DEU', 'Geometry': {'Point': [9.26933, 47.706]}, 'Interpolated': False, 'Label': 'Am Wohrenberg, Kurallee 9, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Kur allee', 'SubRegion': 'Bodenseekreis', 'Category': 'Hotel'}, {'AddressNumber': '16', 'Country': 'DEU', 'Geometry': {'Point': [9.26874, 47.7071]}, 'Interpolated': False, 'Label': 'See Holidays Ferienwohnung Korte, Louvecienner Weg 16, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Louvecienner Weg', 'SubRegion': 'Bodenseekreis', 'Category': 'Lodging'}, {'AddressNumber': '9', 'Country': 'DEU', 'Geometry': {'Point': [9.26933, 47.706]}, 'Interpolated': False, 'Label': 'Am Wohrenberg, Kurallee 9, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Kur allee', 'SubRegion': 'Bodenseekreis', 'Category': 'Lodging'}]	['Hotel', 'Lodging']	['Louvecienner Weg 16, 88709, Meersburg, Baden-Württemberg, DEU', 'Kurallee 9, 88709, Meersburg, Baden-Württemberg, DEU']	['See Holidays Ferienwohnung Korte', 'Am Wohrenberg']	['Bodenseekreis']	['LouveciennerWeg', 'Kurallee']
20	21	(47.707948438035096, 9.276185857096484)	(47.705250153337296, 9.272187047784529)	[]	[]	[]	[]	[]	[]
21	22	(47.70794836840611, 9.280183428499809)	(47.705250083714866, 9.276184412878324)	[{'Country': 'DEU', 'Geometry': {'Point': [9.27938, 47.70643]}, 'Interpolated': False, 'Label': 'Neuweiher, 88718, Daisendorf, Baden-Württemberg, DEU', 'Municipality': 'Daisendorf', 'PostalCode': '88718', 'Region': 'Baden-Württemberg', 'SubRegion': 'Bodenseekreis', 'Category': 'Park'}]	['Park']	['88718, Daisendorf, Baden-Württemberg, DEU']	['Neuweiher']	['Bodenseekreis']	[]
22	23	(47.70794829877712, 9.28418099989781)	(47.70525001409243, 9.280181777966797)	[]	[]	[]	[]	[]	[]
23	24	(47.70794822914814, 9.288178571290485)	(47.70524994446999, 9.284179143049947)	[]	[]	[]	[]	[]	[]
24	25	(47.70794815951916, 9.292176142677837)	(47.705249874847546, 9.288176508127775)	[]	[]	[]	[]	[]	[]
25	26	(47.70794808989019, 9.296173714059865)	(47.705249805225115, 9.292173873200278)	[]	[]	[]	[]	[]	[]
26	27	(47.7079480202612, 9.30017128543657)	(47.705249735602685, 9.29617123826746)	[]	[]	[]	[]	[]	[]
27	28	(47.70794795063221, 9.304168856807948)	(47.70524966598024, 9.300168603329318)	[]	[]	[]	[]	[]	[]
28	29	(47.70794788100323, 9.308166428174003)	(47.7052495963578, 9.304165968385854)	[]	[]	[]	[]	[]	[]
29	30	(47.707947811374254, 9.312163999534734)	(47.70524952673537, 9.308163333437067)	[]	[]	[]	[]	[]	[]
30	31	(47.705250571085074, 9.256198)	(47.70255228507959, 9.252200222235707)	[]	[]	[]	[]	[]	[]
31	32	(47.70525050146264, 9.260195365125734)	(47.7025522154637, 9.256197381082037)	[]	[]	[]	[]	[]	[]
